uid,n_slots,n_days,dF_AM,dF_PM,g_m,g_a,c_hat,se,z,truth_v,truth_s,match_v,match_s
13,133,55,0.016208683528032477,0.10852296007754177,0.007075569307882919,0.03573237273825371,-0.0015763979127510102,0.0018617688320582354,-0.8467205410288559,-0.0007695480716804523,-0.001366981709441815,True,True
18,107,51,0.05771766607427232,-0.27281879841743234,3.607146521504656e-17,8.94684458202883e-17,0.0015533127704449921,0.0015200797604779564,1.021862675124749,0.00027231391013263976,0.0008658095832855869,True,True
22,70,17,-0.17292971976420102,-0.17292971976420102,-0.21066182304967115,-0.03914042111226933,-0.0075900051238557845,0.003035556617898153,-2.500366845112964,-0.002705776626636164,-0.004748730739321337,True,True
31,136,13,0.1440708627394634,0.14683620784795334,-0.038302459570242656,0.2110676112553553,-0.010857710966452315,0.008277409347938726,-1.311728163976347,-0.0007199515742184099,-0.0011164857072656351,True,True
33,125,12,0.005662442741821505,-0.014166948634245217,0.017673303978223507,0.08331641543835959,-0.0013390157149677326,0.0027666851876958815,-0.483978343803863,0.0013491483059661232,0.002535846962208785,False,False
72,136,63,-0.14758738593407558,-0.10890759324629277,-0.001385499516882404,-0.020711735329276063,0.0005141930358883713,0.002992178620175034,0.17184570213201125,-0.0006453577103922304,-0.0009691024159177143,False,False
75,111,10,0.1178127591223374,0.26401662484140515,-0.6125662202205401,0.03367291432367701,-0.022932033346196694,0.06083703224026325,-0.3769420121552179,-0.003195476838483235,-0.005623774725706333,True,True
86,153,47,0.15368154706193168,-0.025752738806152503,-0.04336679501606019,0.03223493511651319,-0.0017780721293598869,0.002226621698659731,-0.7985515143547558,-0.0021557578315792468,-0.0035115777755400533,True,True
106,122,55,0.24319488498418332,0.022948908870339735,0.0017498658902236864,-0.0039811691693701435,0.0011633516836539585,0.0071652745456850546,0.16235968018204294,0.002577267552564629,0.004740347867784914,True,True
118,149,41,-0.06043857906469012,0.03506755794550258,0.0333871501616474,0.030540253504799438,-0.0005321919500619341,0.001527902082523247,-0.34831548182920735,0.0004237825866539155,0.0008523256003068853,False,False
128,85,46,0.030029654769150545,-0.1659837411957164,0.017769335290312636,-0.012848335195362867,0.0023934529961366236,0.0026756657921314137,0.8945261411852257,0.0012771513314751755,0.0025298187448380386,True,True
129,59,14,-0.049310483061198326,0.48564561805458595,0.03546331392908656,0.19330368569055845,-0.00950819946234582,0.013255273690136666,-0.7173144579746348,0.001313703018419671,0.00218394941351262,False,False
143,140,58,0.0654430958591289,-0.0892301672223005,0.05912086243080089,0.007387351341681958,0.002946240772581689,0.0030727337372604855,0.9588337371556404,0.0010942977827860456,0.002204979999304833,True,True
170,123,36,-0.01271826070335573,0.1469399525979604,-1.3337585171385553e-16,1.379319973728041e-17,-0.000636733209605164,0.0006303826765234257,-1.0100740920051319,0.00033282274243029496,0.0006420713448396368,False,False
184,141,6,0.05276891809494868,-0.03763781874880429,0.4548261305603698,-0.38408954846144544,0.03534160159742957,0.0019214297309597744,18.39338750097099,0.0003013880694851534,0.0006430031712473631,True,True
195,112,31,0.022304715063136,0.028322227606152068,0.10844170904262371,0.1719351643456863,-0.0023875105954072064,0.004088287080963478,-0.583987999894701,0.00021907447681130668,0.0005390197795745282,False,False
204,146,76,0.017529515157896358,0.028431345509096935,0.016720228881890724,-0.030162358829607418,0.0019470568167793399,0.0022052812265674756,0.8829063583014931,0.0005098581778357069,0.0010134804791820263,True,True
239,152,16,0.23682192509886899,-0.1435618978849522,0.07185995133608832,-0.13060851480027486,0.0060199358097050935,0.009532900562185458,0.6314904650935536,0.004385861168724161,0.008034125800390996,True,True
248,70,6,0.20160385683926288,-0.17024304574537938,0.2872317262194883,0.2119830150432503,0.005348487522932402,0.0011687436222011978,4.576270981362982,0.0008642759353068761,0.001784440217112108,True,True
252,127,17,-0.12447077598641476,-0.17694077740002537,0.1351598397439373,0.005797350062882528,0.007653719439964051,0.0032077381343176637,2.38601753618274,0.0013243984310288212,0.0026021029454784622,True,True
269,75,50,-0.5097688629144412,-0.5097688629144412,-0.040115534178610114,0.004258586619403246,-0.0018679969183885033,0.002962380002885699,-0.630573024584577,-4.4979609156633505e-05,1.9799029229373728e-05,True,False
277,76,6,0.10478893039550571,0.10478893039550571,0.2709504589643711,6.456704718645257e-16,0.011137655019528866,2.9279381758409216e-05,380.3924246566464,0.002078250801055919,0.0036703201774821483,True,True
291,113,22,-0.24306003748399604,-0.08820250166051141,0.03111832328186923,0.03111832328186905,-0.0007945142956660512,0.0014234882084191499,-0.5581460323780247,0.0006063739470794382,0.0012524255539304633,False,False
299,143,9,-0.02741459566545174,-0.05168198497088391,0.270810088533745,-0.07512453142533052,0.014512716345221917,0.028820381497299333,0.503557399008818,0.0009866763755473084,0.0019321184727591368,True,True
307,151,54,0.010140833680389818,-0.16500181200160224,0.0684298167132231,0.044910377317642705,0.0016056854741366314,0.0032587738235128924,0.492726884741493,-0.00043991050664382234,-0.00042066289923571067,False,False
327,147,68,0.035841794102966944,-0.08205637420969311,0.01428439949910274,0.04811576161518775,-0.0008571965076899699,0.0017302736690868045,-0.4954109416358263,-0.0008070086479769487,-0.0011938212731939244,True,True
333,94,20,-0.02292474153315768,-0.21567357977619675,-0.14972136995956323,-0.018926265139380512,-0.00015164000686832902,0.003510084393638602,-0.043201242438258555,0.0003214161510541528,0.000870684485837812,False,False
339,138,43,-0.098455726972489,-0.013004196167480567,-0.27635452765147106,0.20241765504919507,-0.015888792847383607,0.0182679924260547,-0.869761300356258,-0.0018786763073673906,-0.003103696190395673,True,True
