horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs
2,1,2,2,slot_pm,0.0901607249248109,0.007795153315238927,319
2,1,2,3,E_w,-0.006515655183464015,0.007795153315238927,319
2,1,2,4,weekday_vs_weekend*E_w,0.0,0.007795153315238927,319
2,1,2,5,slot_pm*E_w,-0.0065156551834639875,0.007795153315238927,319
2,1,2,6,b_hat,0.3233645704391011,0.007795153315238927,319
2,1,2,7,weekday_vs_weekend*b_hat,0.0,0.007795153315238927,319
2,1,2,8,slot_pm*b_hat,0.3233645704391097,0.007795153315238927,319
2,1,2,9,b_tilde,0.0,0.007795153315238927,319
2,1,2,10,M_Y_day1_fourSC_morning,-0.01591280709033419,0.007795153315238927,319
2,1,2,11,M_Y_day1_fourSC_afternoon,0.0,0.007795153315238927,319
2,1,2,12,M_Y_day1_anticipated_affect,0.0,0.007795153315238927,319
2,1,2,13,M_Y_day2_fourSC_morning,0.0,0.007795153315238927,319
2,1,2,14,M_Y_day2_fourSC_afternoon,0.0,0.007795153315238927,319
2,1,2,15,M_Y_day2_anticipated_affect,0.0,0.007795153315238927,319
2,1,2,16,M_Y_day3_fourSC_morning,0.0,0.007795153315238927,319
2,1,2,17,M_Y_day3_fourSC_afternoon,0.0,0.007795153315238927,319
2,1,2,18,M_Y_day3_anticipated_affect,0.0,0.007795153315238927,319
2,1,2,19,M_Y_day4_fourSC_morning,0.0,0.007795153315238927,319
2,1,2,20,M_Y_day4_fourSC_afternoon,0.0,0.007795153315238927,319
2,1,2,21,M_Y_day4_anticipated_affect,0.0,0.007795153315238927,319
2,1,2,22,M_Y_day5_fourSC_morning,0.0,0.007795153315238927,319
2,1,2,23,M_Y_day5_fourSC_afternoon,0.0,0.007795153315238927,319
2,1,2,24,M_Y_day5_anticipated_affect,0.0,0.007795153315238927,319
2,1,2,25,M_Y_day6_fourSC_morning,0.0,0.007795153315238927,319
2,1,2,26,M_Y_day6_fourSC_afternoon,0.0,0.007795153315238927,319
2,1,2,27,M_Y_day6_anticipated_affect,0.0,0.007795153315238927,319
2,1,2,28,M_E_day1_pageview_morning,0.03211923159317368,0.007795153315238927,319
2,1,2,29,M_E_day1_pageview_afternoon,0.0,0.007795153315238927,319
2,1,2,30,M_E_day1_morning_fitbit_wear,0.0,0.007795153315238927,319
2,1,2,31,M_E_day1_daily_survey_complete,0.0,0.007795153315238927,319
2,1,2,32,M_E_day2_pageview_morning,0.0,0.007795153315238927,319
2,1,2,33,M_E_day2_pageview_afternoon,0.0,0.007795153315238927,319
2,1,2,34,M_E_day2_morning_fitbit_wear,0.0,0.007795153315238927,319
2,1,2,35,M_E_day2_daily_survey_complete,0.0,0.007795153315238927,319
2,1,2,36,M_E_day3_pageview_morning,0.0,0.007795153315238927,319
2,1,2,37,M_E_day3_pageview_afternoon,0.0,0.007795153315238927,319
2,1,2,38,M_E_day3_morning_fitbit_wear,0.0,0.007795153315238927,319
2,1,2,39,M_E_day3_daily_survey_complete,0.0,0.007795153315238927,319
2,1,2,40,M_E_day4_pageview_morning,0.0,0.007795153315238927,319
2,1,2,41,M_E_day4_pageview_afternoon,0.0,0.007795153315238927,319
2,1,2,42,M_E_day4_morning_fitbit_wear,0.0,0.007795153315238927,319
2,1,2,43,M_E_day4_daily_survey_complete,0.0,0.007795153315238927,319
2,1,2,44,M_E_day5_pageview_morning,0.0,0.007795153315238927,319
2,1,2,45,M_E_day5_pageview_afternoon,0.0,0.007795153315238927,319
2,1,2,46,M_E_day5_morning_fitbit_wear,0.0,0.007795153315238927,319
2,1,2,47,M_E_day5_daily_survey_complete,0.0,0.007795153315238927,319
2,1,2,48,M_E_day6_pageview_morning,0.0,0.007795153315238927,319
2,1,2,49,M_E_day6_pageview_afternoon,0.0,0.007795153315238927,319
2,1,2,50,M_E_day6_morning_fitbit_wear,0.0,0.007795153315238927,319
2,1,2,51,M_E_day6_daily_survey_complete,0.0,0.007795153315238927,319
2,1,2,52,yesterday_step_count,0.017361084566476382,0.007795153315238927,319
2,1,2,53,ema_step_count,0.0025047779305321306,0.007795153315238927,319
2,1,2,54,prior2hour_step_count,0.016270785656998802,0.007795153315238927,319
2,1,2,56,active_status_fraction_7days,0.12056579087579102,0.007795153315238927,319
2,1,2,57,recent_burden,-0.0022970733600077707,0.007795153315238927,319
2,1,2,58,salience_yesterday,-0.021601335345883273,0.007795153315238927,319
2,1,2,59,walk_interaction_7d,0.14108591333793133,0.007795153315238927,319
2,1,2,60,A,0.0038355022353311332,0.007795153315238927,319
2,1,2,61,A*E_w,-0.000964366428927704,0.007795153315238927,319
2,1,2,62,A*b_hat,-0.0014409190504927989,0.007795153315238927,319
2,1,2,63,A*weekday_vs_weekend,0.0,0.007795153315238927,319
