horizon,day,slot,index,feature,coef_unified_kernel,coef_legacy_separate,difference,abs_difference,relative_abs_diff,sigma2_primary,sigma2_legacy,n_obs_primary,n_obs_legacy
1,1,1,40,M_E_day4_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,41,M_E_day4_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,42,M_E_day4_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,43,M_E_day4_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,44,M_E_day5_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,45,M_E_day5_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,46,M_E_day5_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,47,M_E_day5_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,48,M_E_day6_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,49,M_E_day6_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,50,M_E_day6_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,51,M_E_day6_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,52,yesterday_step_count,0.015403276377999589,0.009510530640387494,-0.005892745737612094,0.005892745737612094,0.38256443583838234,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,53,ema_step_count,-0.0068283624011235815,0.0007358992428421714,0.007564261643965753,0.007564261643965753,1.107770970492293,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,54,prior2hour_step_count,0.002168127929707286,0.003604272541731334,0.001436144612024048,0.001436144612024048,0.39845616428722874,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,55,previous7days_rpa,0.10745009257928016,0.10892945217676162,0.0014793595974814527,0.0014793595974814527,0.013580896331699819,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,56,active_status_fraction_7days,0.10460748631139928,0.09561671659136739,-0.008990769720031891,0.008990769720031891,0.08594767006701459,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,57,recent_burden,0.004292636401571995,-0.011681904014455598,-0.015974540416027593,0.015974540416027593,1.3674603383369814,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,58,salience_yesterday,-0.012478701368770927,0.0010149979643517763,0.013493699333122703,0.013493699333122703,1.081338428924335,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,59,walk_interaction_7d,0.11067668174283928,0.026434140799040516,-0.08424254094379877,0.08424254094379877,0.7611588965012426,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,60,A,0.0027244732821255662,0.01255606589236127,0.009831592610235704,0.009831592610235704,0.7830153723720857,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,61,A*E_w,0.00019837198435938648,-0.0025150050904859224,-0.002713377074845309,0.002713377074845309,1.0788753808530303,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,62,A*b_hat,0.009741206780483468,0.008465606549366572,-0.0012756002311168965,0.0012756002311168965,0.13094889163759102,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,63,A*weekday_vs_weekend,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,64,A*slot_pm,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,65,A*weekday_vs_weekend*E_w,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,66,A*slot_pm*E_w,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,67,A*weekday_vs_weekend*b_hat,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,68,A*slot_pm*b_hat,0.0,0.0,0.0,0.0,0.0,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,69,A*yesterday_step_count,-0.007336214807539254,0.005806747827355684,0.013142962634894938,0.013142962634894938,1.7915182392680524,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,70,A*ema_step_count,0.014353191729938236,-0.007467601495617572,-0.021820793225555808,0.021820793225555808,1.520274628537252,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,71,A*prior2hour_step_count,-0.009271146471759655,-0.0039030134270858583,0.0053681330446737965,0.0053681330446737965,0.5790150183718249,0.0010163739187037512,0.000296816011454261,319,319
1,1,1,72,A*previous7days_rpa,0.03780182026724101,-0.0014034356629947257,-0.03920525593023573,0.03920525593023573,1.037126139775098,0.0010163739187037512,0.000296816011454261,319,319
