Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22039894  Task ID: 47
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 47: seed=46 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 46, draw_seed 1996984280 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 46, draw_seed 3617026015 ... CAE means: micro_g0=-0.360, micro_g05=-0.365, mtd_g0=-0.362, mtd_g05=-0.368, rs_g0=-0.360, rs_g05=-0.364, rs_mtd_g0=-0.360, rs_mtd_g05=-0.366, never_send=-0.354, always_send=-0.380, random_send=-0.357
  Experiment 0, draw 3/100, user 188, exp_seed 46, draw_seed 1304775914 ... CAE means: micro_g0=0.937, micro_g05=0.966, mtd_g0=0.885, mtd_g05=0.899, rs_g0=0.923, rs_g05=0.831, rs_mtd_g0=0.899, rs_mtd_g05=0.933, never_send=0.820, always_send=0.916, random_send=0.853
  Experiment 0, draw 4/100, user 151, exp_seed 46, draw_seed 2141061638 ... CAE means: micro_g0=0.725, micro_g05=0.750, mtd_g0=0.730, mtd_g05=0.730, rs_g0=0.749, rs_g05=0.732, rs_mtd_g0=0.735, rs_mtd_g05=0.713, never_send=0.618, always_send=0.831, random_send=0.726
  Experiment 0, draw 5/100, user 151, exp_seed 46, draw_seed 4147556973 ... CAE means: micro_g0=0.741, micro_g05=0.693, mtd_g0=0.712, mtd_g05=0.681, rs_g0=0.725, rs_g05=0.709, rs_mtd_g0=0.693, rs_mtd_g05=0.693, never_send=0.607, always_send=0.805, random_send=0.695
  Experiment 0, draw 6/100, user 118, exp_seed 46, draw_seed 247235923 ... CAE means: micro_g0=-0.155, micro_g05=-0.158, mtd_g0=-0.156, mtd_g05=-0.161, rs_g0=-0.159, rs_g05=-0.158, rs_mtd_g0=-0.157, rs_mtd_g05=-0.158, never_send=-0.160, always_send=-0.149, random_send=-0.156
  Experiment 0, draw 7/100, user 138, exp_seed 46, draw_seed 4142322217 ... CAE means: micro_g0=-0.685, micro_g05=-0.692, mtd_g0=-0.698, mtd_g05=-0.682, rs_g0=-0.714, rs_g05=-0.690, rs_mtd_g0=-0.692, rs_mtd_g05=-0.694, never_send=-0.692, always_send=-0.689, random_send=-0.697
  Experiment 0, draw 8/100, user 118, exp_seed 46, draw_seed 4129797792 ... CAE means: micro_g0=-0.153, micro_g05=-0.156, mtd_g0=-0.155, mtd_g05=-0.154, rs_g0=-0.155, rs_g05=-0.152, rs_mtd_g0=-0.153, rs_mtd_g05=-0.153, never_send=-0.158, always_send=-0.147, random_send=-0.154
  Experiment 0, draw 9/100, user 141, exp_seed 46, draw_seed 453921782 ... CAE means: micro_g0=0.633, micro_g05=0.615, mtd_g0=0.657, mtd_g05=0.641, rs_g0=0.613, rs_g05=0.620, rs_mtd_g0=0.624, rs_mtd_g05=0.616, never_send=0.694, always_send=0.568, random_send=0.625
  Experiment 0, draw 10/100, user 251, exp_seed 46, draw_seed 2285903712 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 46, draw_seed 1993797040 ... CAE means: micro_g0=-0.364, micro_g05=-0.364, mtd_g0=-0.359, mtd_g05=-0.365, rs_g0=-0.368, rs_g05=-0.367, rs_mtd_g0=-0.363, rs_mtd_g05=-0.363, never_send=-0.354, always_send=-0.381, random_send=-0.358
