Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22039862  Task ID: 46
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 46: seed=45 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 45, draw_seed 1982925818 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 45, draw_seed 2833880933 ... CAE means: micro_g0=-0.362, micro_g05=-0.365, mtd_g0=-0.362, mtd_g05=-0.366, rs_g0=-0.360, rs_g05=-0.364, rs_mtd_g0=-0.365, rs_mtd_g05=-0.365, never_send=-0.356, always_send=-0.381, random_send=-0.357
  Experiment 0, draw 3/100, user 188, exp_seed 45, draw_seed 3805218897 ... CAE means: micro_g0=0.985, micro_g05=0.936, mtd_g0=0.945, mtd_g05=0.972, rs_g0=0.959, rs_g05=0.964, rs_mtd_g0=0.958, rs_mtd_g05=0.960, never_send=0.869, always_send=0.945, random_send=0.893
  Experiment 0, draw 4/100, user 151, exp_seed 45, draw_seed 2411886612 ... CAE means: micro_g0=0.707, micro_g05=0.725, mtd_g0=0.721, mtd_g05=0.720, rs_g0=0.726, rs_g05=0.709, rs_mtd_g0=0.700, rs_mtd_g05=0.701, never_send=0.615, always_send=0.816, random_send=0.686
  Experiment 0, draw 5/100, user 151, exp_seed 45, draw_seed 3263322198 ... CAE means: micro_g0=0.730, micro_g05=0.711, mtd_g0=0.724, mtd_g05=0.689, rs_g0=0.690, rs_g05=0.709, rs_mtd_g0=0.693, rs_mtd_g05=0.722, never_send=0.621, always_send=0.810, random_send=0.705
  Experiment 0, draw 6/100, user 118, exp_seed 45, draw_seed 2271046847 ... CAE means: micro_g0=-0.150, micro_g05=-0.147, mtd_g0=-0.147, mtd_g05=-0.147, rs_g0=-0.150, rs_g05=-0.148, rs_mtd_g0=-0.149, rs_mtd_g05=-0.147, never_send=-0.150, always_send=-0.144, random_send=-0.148
  Experiment 0, draw 7/100, user 138, exp_seed 45, draw_seed 4033668978 ... CAE means: micro_g0=-0.730, micro_g05=-0.607, mtd_g0=-0.649, mtd_g05=-0.640, rs_g0=-0.583, rs_g05=-0.651, rs_mtd_g0=-0.631, rs_mtd_g05=-0.665, never_send=-0.648, always_send=-0.648, random_send=-0.628
  Experiment 0, draw 8/100, user 118, exp_seed 45, draw_seed 154053148 ... CAE means: micro_g0=-0.150, micro_g05=-0.152, mtd_g0=-0.151, mtd_g05=-0.152, rs_g0=-0.151, rs_g05=-0.152, rs_mtd_g0=-0.152, rs_mtd_g05=-0.149, never_send=-0.153, always_send=-0.143, random_send=-0.150
  Experiment 0, draw 9/100, user 141, exp_seed 45, draw_seed 372432039 ... CAE means: micro_g0=0.613, micro_g05=0.643, mtd_g0=0.608, mtd_g05=0.630, rs_g0=0.600, rs_g05=0.615, rs_mtd_g0=0.601, rs_mtd_g05=0.619, never_send=0.691, always_send=0.602, random_send=0.610
  Experiment 0, draw 10/100, user 251, exp_seed 45, draw_seed 448927566 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 45, draw_seed 1231416469 ... CAE means: micro_g0=-0.363, micro_g05=-0.365, mtd_g0=-0.360, mtd_g05=-0.366, rs_g0=-0.364, rs_g05=-0.359, rs_mtd_g0=-0.364, rs_mtd_g05=-0.365, never_send=-0.353, always_send=-0.376, random_send=-0.359
  Experiment 0, draw 12/100, user 252, exp_seed 45, draw_seed 2720907839 ... CAE means: micro_g0=0.212, micro_g05=0.209, mtd_g0=0.201, mtd_g05=0.209, rs_g0=0.204, rs_g05=0.211, rs_mtd_g0=0.214, rs_mtd_g05=0.203, never_send=0.211, always_send=0.193, random_send=0.211
  Experiment 0, draw 13/100, user 188, exp_seed 45, draw_seed 3972631059 ... CAE means: micro_g0=0.956, micro_g05=0.954, mtd_g0=0.954, mtd_g05=0.963, rs_g0=0.974, rs_g05=0.936, rs_mtd_g0=0.969, rs_mtd_g05=0.942, never_send=0.852, always_send=0.930, random_send=0.864
