Host: holy7c18103.rc.fas.harvard.edu
Job ID: 22001010  Task ID: 44
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 44: seed=43 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 43, draw_seed 3994432209 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 43, draw_seed 2428068368 ... CAE means: micro_g0=-0.359, micro_g05=-0.362, mtd_g0=-0.356, mtd_g05=-0.360, rs_g0=-0.361, rs_g05=-0.363, rs_mtd_g0=-0.362, rs_mtd_g05=-0.366, never_send=-0.352, always_send=-0.376, random_send=-0.359
  Experiment 0, draw 3/100, user 188, exp_seed 43, draw_seed 3471516181 ... CAE means: micro_g0=0.926, micro_g05=0.927, mtd_g0=0.921, mtd_g05=0.924, rs_g0=0.927, rs_g05=0.907, rs_mtd_g0=0.904, rs_mtd_g05=0.926, never_send=0.824, always_send=0.900, random_send=0.846
  Experiment 0, draw 4/100, user 151, exp_seed 43, draw_seed 129121643 ... CAE means: micro_g0=0.707, micro_g05=0.756, mtd_g0=0.725, mtd_g05=0.716, rs_g0=0.701, rs_g05=0.740, rs_mtd_g0=0.725, rs_mtd_g05=0.713, never_send=0.627, always_send=0.832, random_send=0.716
  Experiment 0, draw 5/100, user 151, exp_seed 43, draw_seed 1023095363 ... CAE means: micro_g0=0.721, micro_g05=0.710, mtd_g0=0.709, mtd_g05=0.705, rs_g0=0.723, rs_g05=0.687, rs_mtd_g0=0.750, rs_mtd_g05=0.727, never_send=0.621, always_send=0.819, random_send=0.685
  Experiment 0, draw 6/100, user 118, exp_seed 43, draw_seed 1450196821 ... CAE means: micro_g0=-0.160, micro_g05=-0.160, mtd_g0=-0.156, mtd_g05=-0.160, rs_g0=-0.159, rs_g05=-0.159, rs_mtd_g0=-0.161, rs_mtd_g05=-0.161, never_send=-0.161, always_send=-0.152, random_send=-0.158
  Experiment 0, draw 7/100, user 138, exp_seed 43, draw_seed 2086763156 ... CAE means: micro_g0=-0.737, micro_g05=-0.726, mtd_g0=-0.619, mtd_g05=-0.726, rs_g0=-0.769, rs_g05=-0.716, rs_mtd_g0=-0.731, rs_mtd_g05=-0.622, never_send=-0.735, always_send=-0.738, random_send=-0.722
  Experiment 0, draw 8/100, user 118, exp_seed 43, draw_seed 788458171 ... CAE means: micro_g0=-0.147, micro_g05=-0.151, mtd_g0=-0.151, mtd_g05=-0.149, rs_g0=-0.150, rs_g05=-0.149, rs_mtd_g0=-0.152, rs_mtd_g05=-0.149, never_send=-0.153, always_send=-0.142, random_send=-0.149
  Experiment 0, draw 9/100, user 141, exp_seed 43, draw_seed 2563578824 ... CAE means: micro_g0=0.522, micro_g05=0.517, mtd_g0=0.550, mtd_g05=0.554, rs_g0=0.545, rs_g05=0.551, rs_mtd_g0=0.563, rs_mtd_g05=0.576, never_send=0.625, always_send=0.510, random_send=0.540
  Experiment 0, draw 10/100, user 251, exp_seed 43, draw_seed 4077714864 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 43, draw_seed 3008797010 ... CAE means: micro_g0=-0.357, micro_g05=-0.360, mtd_g0=-0.363, mtd_g05=-0.359, rs_g0=-0.359, rs_g05=-0.362, rs_mtd_g0=-0.363, rs_mtd_g05=-0.360, never_send=-0.351, always_send=-0.375, random_send=-0.354
