Running experiment.py on holy7c18104.rc.fas.harvard.edu
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running all seeds: 100 experiments
  Experiment 0, draw 19/100, user 188, exp_seed 0, draw_seed 3941510019 ... CAE means: micro_g0=0.955, micro_g05=0.935, mtd_g0=0.968, mtd_g05=0.966, rs_g0=0.937, rs_g05=0.944, rs_mtd_g0=0.957, rs_mtd_g05=0.966, never_send=0.856, always_send=0.942, random_send=0.877
  Experiment 0, draw 20/100, user 252, exp_seed 0, draw_seed 4088419074 ... CAE means: micro_g0=0.200, micro_g05=0.196, mtd_g0=0.199, mtd_g05=0.196, rs_g0=0.195, rs_g05=0.197, rs_mtd_g0=0.193, rs_mtd_g05=0.208, never_send=0.197, always_send=0.180, random_send=0.199
  Experiment 0, draw 21/100, user 151, exp_seed 0, draw_seed 1013476761 ... CAE means: micro_g0=0.705, micro_g05=0.748, mtd_g0=0.726, mtd_g05=0.699, rs_g0=0.710, rs_g05=0.697, rs_mtd_g0=0.692, rs_mtd_g05=0.708, never_send=0.610, always_send=0.819, random_send=0.689
  Experiment 0, draw 22/100, user 251, exp_seed 0, draw_seed 2687901501 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 23/100, user 204, exp_seed 0, draw_seed 693246976 ... CAE means: micro_g0=-0.360, micro_g05=-0.362, mtd_g0=-0.364, mtd_g05=-0.364, rs_g0=-0.360, rs_g05=-0.362, rs_mtd_g0=-0.363, rs_mtd_g05=-0.368, never_send=-0.351, always_send=-0.374, random_send=-0.354
  Experiment 0, draw 24/100, user 118, exp_seed 0, draw_seed 1889559468 ... CAE means: micro_g0=-0.143, micro_g05=-0.143, mtd_g0=-0.146, mtd_g05=-0.142, rs_g0=-0.144, rs_g05=-0.143, rs_mtd_g0=-0.147, rs_mtd_g05=-0.142, never_send=-0.147, always_send=-0.140, random_send=-0.144
  Experiment 0, draw 25/100, user 170, exp_seed 0, draw_seed 397828459 ... CAE means: micro_g0=0.471, micro_g05=0.471, mtd_g0=0.471, mtd_g05=0.470, rs_g0=0.469, rs_g05=0.478, rs_mtd_g0=0.465, rs_mtd_g05=0.468, never_send=0.447, always_send=0.475, random_send=0.465
  Experiment 0, draw 26/100, user 251, exp_seed 0, draw_seed 3634855938 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 27/100, user 188, exp_seed 0, draw_seed 782541189 ... CAE means: micro_g0=0.958, micro_g05=0.972, mtd_g0=0.969, mtd_g05=0.956, rs_g0=0.954, rs_g05=0.963, rs_mtd_g0=0.979, rs_mtd_g05=0.977, never_send=0.874, always_send=0.931, random_send=0.860
  Experiment 0, draw 28/100, user 118, exp_seed 0, draw_seed 1205035877 ... CAE means: micro_g0=-0.158, micro_g05=-0.158, mtd_g0=-0.157, mtd_g05=-0.158, rs_g0=-0.158, rs_g05=-0.158, rs_mtd_g0=-0.158, rs_mtd_g05=-0.154, never_send=-0.161, always_send=-0.152, random_send=-0.159
  Experiment 0, draw 29/100, user 239, exp_seed 0, draw_seed 296076971 ... CAE means: micro_g0=-2.713, micro_g05=-2.717, mtd_g0=-2.695, mtd_g05=-2.718, rs_g0=-2.733, rs_g05=-2.698, rs_mtd_g0=-2.715, rs_mtd_g05=-2.732, never_send=-2.658, always_send=-2.700, random_send=-2.742
  Experiment 0, draw 30/100, user 225, exp_seed 0, draw_seed 1425869459 ... CAE means: micro_g0=0.489, micro_g05=0.511, mtd_g0=0.511, mtd_g05=0.503, rs_g0=0.485, rs_g05=0.503, rs_mtd_g0=0.501, rs_mtd_g05=0.503, never_send=0.459, always_send=0.530, random_send=0.485
  Experiment 0, draw 31/100, user 251, exp_seed 0, draw_seed 2732912765 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 32/100, user 141, exp_seed 0, draw_seed 3478692713 ... CAE means: micro_g0=0.589, micro_g05=0.592, mtd_g0=0.565, mtd_g05=0.584, rs_g0=0.575, rs_g05=0.582, rs_mtd_g0=0.589, rs_mtd_g05=0.576, never_send=0.658, always_send=0.516, random_send=0.588
  Experiment 0, draw 33/100, user 138, exp_seed 0, draw_seed 1596040906 ... 
