Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22042981  Task ID: 51
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 51: seed=50 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 50, draw_seed 807043830 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 50, draw_seed 849201880 ... CAE means: micro_g0=-0.362, micro_g05=-0.367, mtd_g0=-0.356, mtd_g05=-0.358, rs_g0=-0.363, rs_g05=-0.361, rs_mtd_g0=-0.363, rs_mtd_g05=-0.358, never_send=-0.352, always_send=-0.378, random_send=-0.358
  Experiment 0, draw 3/100, user 188, exp_seed 50, draw_seed 3207106906 ... CAE means: micro_g0=0.962, micro_g05=0.941, mtd_g0=0.965, mtd_g05=0.956, rs_g0=0.955, rs_g05=0.963, rs_mtd_g0=0.950, rs_mtd_g05=0.956, never_send=0.852, always_send=0.912, random_send=0.868
  Experiment 0, draw 4/100, user 151, exp_seed 50, draw_seed 1297135640 ... CAE means: micro_g0=0.681, micro_g05=0.702, mtd_g0=0.705, mtd_g05=0.699, rs_g0=0.700, rs_g05=0.732, rs_mtd_g0=0.708, rs_mtd_g05=0.719, never_send=0.607, always_send=0.798, random_send=0.686
  Experiment 0, draw 5/100, user 151, exp_seed 50, draw_seed 3361070606 ... CAE means: micro_g0=0.689, micro_g05=0.730, mtd_g0=0.701, mtd_g05=0.698, rs_g0=0.706, rs_g05=0.707, rs_mtd_g0=0.715, rs_mtd_g05=0.716, never_send=0.605, always_send=0.804, random_send=0.691
  Experiment 0, draw 6/100, user 118, exp_seed 50, draw_seed 242120626 ... CAE means: micro_g0=-0.155, micro_g05=-0.155, mtd_g0=-0.153, mtd_g05=-0.151, rs_g0=-0.155, rs_g05=-0.156, rs_mtd_g0=-0.157, rs_mtd_g05=-0.154, never_send=-0.157, always_send=-0.152, random_send=-0.156
  Experiment 0, draw 7/100, user 138, exp_seed 50, draw_seed 4207060628 ... CAE means: micro_g0=-0.744, micro_g05=-0.698, mtd_g0=-0.694, mtd_g05=-0.695, rs_g0=-0.718, rs_g05=-0.698, rs_mtd_g0=-0.672, rs_mtd_g05=-0.682, never_send=-0.682, always_send=-0.700, random_send=-0.678
  Experiment 0, draw 8/100, user 118, exp_seed 50, draw_seed 2851929981 ... CAE means: micro_g0=-0.149, micro_g05=-0.152, mtd_g0=-0.153, mtd_g05=-0.152, rs_g0=-0.152, rs_g05=-0.150, rs_mtd_g0=-0.150, rs_mtd_g05=-0.148, never_send=-0.154, always_send=-0.145, random_send=-0.152
  Experiment 0, draw 9/100, user 141, exp_seed 50, draw_seed 3270683069 ... CAE means: micro_g0=0.571, micro_g05=0.544, mtd_g0=0.566, mtd_g05=0.557, rs_g0=0.567, rs_g05=0.548, rs_mtd_g0=0.565, rs_mtd_g05=0.550, never_send=0.634, always_send=0.542, random_send=0.555
  Experiment 0, draw 10/100, user 251, exp_seed 50, draw_seed 3442893482 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 50, draw_seed 722956788 ... CAE means: micro_g0=-0.353, micro_g05=-0.362, mtd_g0=-0.356, mtd_g05=-0.361, rs_g0=-0.357, rs_g05=-0.361, rs_mtd_g0=-0.356, rs_mtd_g05=-0.364, never_send=-0.349, always_send=-0.372, random_send=-0.353
  Experiment 0, draw 12/100, user 252, exp_seed 50, draw_seed 264077156 ... CAE means: micro_g0=0.201, micro_g05=0.208, mtd_g0=0.192, mtd_g05=0.200, rs_g0=0.213, rs_g05=0.201, rs_mtd_g0=0.198, rs_mtd_g05=0.210, never_send=0.204, always_send=0.188, random_send=0.200
  Experiment 0, draw 13/100, user 188, exp_seed 50, draw_seed 2320198210 ... CAE means: micro_g0=0.973, micro_g05=1.006, mtd_g0=0.986, mtd_g05=1.000, rs_g0=0.993, rs_g05=0.992, rs_mtd_g0=0.970, rs_mtd_g05=0.985, never_send=0.883, always_send=0.955, random_send=0.880
  Experiment 0, draw 14/100, user 195, exp_seed 50, draw_seed 2174684847 ... CAE means: micro_g0=0.273, micro_g05=0.276, mtd_g0=0.276, mtd_g05=0.276, rs_g0=0.274, rs_g05=0.275, rs_mtd_g0=0.270, rs_mtd_g05=0.276, never_send=0.262, always_send=0.270, random_send=0.272
  Experiment 0, draw 15/100, user 257, exp_seed 50, draw_seed 1881896573 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 16/100, user 225, exp_seed 50, draw_seed 2632811854 ... 
