Host: holy7c18103.rc.fas.harvard.edu
Job ID: 22000117  Task ID: 39
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 39: seed=38 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 38, draw_seed 3728617767 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 38, draw_seed 2291213399 ... CAE means: micro_g0=-0.358, micro_g05=-0.357, mtd_g0=-0.352, mtd_g05=-0.366, rs_g0=-0.365, rs_g05=-0.364, rs_mtd_g0=-0.359, rs_mtd_g05=-0.362, never_send=-0.351, always_send=-0.376, random_send=-0.355
  Experiment 0, draw 3/100, user 188, exp_seed 38, draw_seed 3868870089 ... CAE means: micro_g0=0.931, micro_g05=0.950, mtd_g0=0.923, mtd_g05=0.900, rs_g0=0.950, rs_g05=0.958, rs_mtd_g0=0.907, rs_mtd_g05=0.889, never_send=0.815, always_send=0.904, random_send=0.841
  Experiment 0, draw 4/100, user 151, exp_seed 38, draw_seed 3363002397 ... CAE means: micro_g0=0.728, micro_g05=0.719, mtd_g0=0.716, mtd_g05=0.727, rs_g0=0.715, rs_g05=0.743, rs_mtd_g0=0.747, rs_mtd_g05=0.739, never_send=0.629, always_send=0.828, random_send=0.712
  Experiment 0, draw 5/100, user 151, exp_seed 38, draw_seed 3080551537 ... CAE means: micro_g0=0.716, micro_g05=0.705, mtd_g0=0.705, mtd_g05=0.704, rs_g0=0.685, rs_g05=0.733, rs_mtd_g0=0.710, rs_mtd_g05=0.736, never_send=0.619, always_send=0.814, random_send=0.708
  Experiment 0, draw 6/100, user 118, exp_seed 38, draw_seed 3355952725 ... CAE means: micro_g0=-0.147, micro_g05=-0.144, mtd_g0=-0.145, mtd_g05=-0.143, rs_g0=-0.145, rs_g05=-0.144, rs_mtd_g0=-0.145, rs_mtd_g05=-0.143, never_send=-0.147, always_send=-0.140, random_send=-0.144
  Experiment 0, draw 7/100, user 138, exp_seed 38, draw_seed 1780897804 ... CAE means: micro_g0=-0.718, micro_g05=-0.636, mtd_g0=-0.720, mtd_g05=-0.693, rs_g0=-0.722, rs_g05=-0.754, rs_mtd_g0=-0.586, rs_mtd_g05=-0.691, never_send=-0.712, always_send=-0.693, random_send=-0.690
  Experiment 0, draw 8/100, user 118, exp_seed 38, draw_seed 2953548979 ... CAE means: micro_g0=-0.152, micro_g05=-0.151, mtd_g0=-0.153, mtd_g05=-0.150, rs_g0=-0.150, rs_g05=-0.149, rs_mtd_g0=-0.153, rs_mtd_g05=-0.150, never_send=-0.153, always_send=-0.144, random_send=-0.149
  Experiment 0, draw 9/100, user 141, exp_seed 38, draw_seed 2532191152 ... CAE means: micro_g0=0.517, micro_g05=0.525, mtd_g0=0.548, mtd_g05=0.511, rs_g0=0.544, rs_g05=0.520, rs_mtd_g0=0.504, rs_mtd_g05=0.507, never_send=0.592, always_send=0.409, random_send=0.523
  Experiment 0, draw 10/100, user 251, exp_seed 38, draw_seed 3462042997 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 38, draw_seed 3706108038 ... CAE means: micro_g0=-0.361, micro_g05=-0.362, mtd_g0=-0.364, mtd_g05=-0.364, rs_g0=-0.357, rs_g05=-0.359, rs_mtd_g0=-0.366, rs_mtd_g05=-0.364, never_send=-0.348, always_send=-0.372, random_send=-0.351
