Host: holy7c18103.rc.fas.harvard.edu
Job ID: 21999821  Task ID: 36
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 36: seed=35 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 35, draw_seed 3337762450 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 35, draw_seed 2067857279 ... CAE means: micro_g0=-0.365, micro_g05=-0.365, mtd_g0=-0.369, mtd_g05=-0.347, rs_g0=-0.362, rs_g05=-0.364, rs_mtd_g0=-0.388, rs_mtd_g05=-0.340, never_send=-0.358, always_send=-0.381, random_send=-0.363
  Experiment 0, draw 3/100, user 188, exp_seed 35, draw_seed 3859500301 ... CAE means: micro_g0=0.922, micro_g05=0.903, mtd_g0=0.881, mtd_g05=0.901, rs_g0=0.912, rs_g05=0.914, rs_mtd_g0=0.915, rs_mtd_g05=0.912, never_send=0.819, always_send=0.901, random_send=0.849
  Experiment 0, draw 4/100, user 151, exp_seed 35, draw_seed 4072347540 ... CAE means: micro_g0=0.719, micro_g05=0.706, mtd_g0=0.708, mtd_g05=0.756, rs_g0=0.691, rs_g05=0.730, rs_mtd_g0=0.683, rs_mtd_g05=0.705, never_send=0.618, always_send=0.822, random_send=0.718
  Experiment 0, draw 5/100, user 151, exp_seed 35, draw_seed 1885008929 ... CAE means: micro_g0=0.705, micro_g05=0.754, mtd_g0=0.703, mtd_g05=0.745, rs_g0=0.704, rs_g05=0.736, rs_mtd_g0=0.716, rs_mtd_g05=0.729, never_send=0.622, always_send=0.819, random_send=0.700
  Experiment 0, draw 6/100, user 118, exp_seed 35, draw_seed 2828282983 ... CAE means: micro_g0=-0.153, micro_g05=-0.153, mtd_g0=-0.154, mtd_g05=-0.154, rs_g0=-0.154, rs_g05=-0.154, rs_mtd_g0=-0.156, rs_mtd_g05=-0.156, never_send=-0.158, always_send=-0.152, random_send=-0.154
  Experiment 0, draw 7/100, user 138, exp_seed 35, draw_seed 351983572 ... CAE means: micro_g0=-0.701, micro_g05=-0.744, mtd_g0=-0.764, mtd_g05=-0.730, rs_g0=-0.698, rs_g05=-0.738, rs_mtd_g0=-0.856, rs_mtd_g05=-0.731, never_send=-0.722, always_send=-0.734, random_send=-0.734
  Experiment 0, draw 8/100, user 118, exp_seed 35, draw_seed 1343117954 ... CAE means: micro_g0=-0.155, micro_g05=-0.154, mtd_g0=-0.153, mtd_g05=-0.155, rs_g0=-0.155, rs_g05=-0.155, rs_mtd_g0=-0.153, rs_mtd_g05=-0.155, never_send=-0.158, always_send=-0.145, random_send=-0.154
  Experiment 0, draw 9/100, user 141, exp_seed 35, draw_seed 1267955970 ... CAE means: micro_g0=0.524, micro_g05=0.516, mtd_g0=0.506, mtd_g05=0.499, rs_g0=0.499, rs_g05=0.504, rs_mtd_g0=0.495, rs_mtd_g05=0.490, never_send=0.586, always_send=0.454, random_send=0.502
  Experiment 0, draw 10/100, user 251, exp_seed 35, draw_seed 1533752129 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 35, draw_seed 3843630654 ... CAE means: micro_g0=-0.367, micro_g05=-0.366, mtd_g0=-0.363, mtd_g05=-0.366, rs_g0=-0.363, rs_g05=-0.372, rs_mtd_g0=-0.358, rs_mtd_g05=-0.366, never_send=-0.353, always_send=-0.380, random_send=-0.354
  Experiment 0, draw 12/100, user 252, exp_seed 35, draw_seed 346824545 ... CAE means: micro_g0=0.212, micro_g05=0.211, mtd_g0=0.203, mtd_g05=0.213, rs_g0=0.206, rs_g05=0.212, rs_mtd_g0=0.218, rs_mtd_g05=0.214, never_send=0.212, always_send=0.189, random_send=0.203
  Experiment 0, draw 13/100, user 188, exp_seed 35, draw_seed 47571884 ... CAE means: micro_g0=0.983, micro_g05=0.987, mtd_g0=0.966, mtd_g05=0.974, rs_g0=0.987, rs_g05=0.972, rs_mtd_g0=0.983, rs_mtd_g05=0.980, never_send=0.870, always_send=0.941, random_send=0.875
  Experiment 0, draw 14/100, user 195, exp_seed 35, draw_seed 4113156424 ... CAE means: micro_g0=0.261, micro_g05=0.261, mtd_g0=0.260, mtd_g05=0.261, rs_g0=0.264, rs_g05=0.262, rs_mtd_g0=0.261, rs_mtd_g05=0.260, never_send=0.250, always_send=0.258, random_send=0.259
  Experiment 0, draw 15/100, user 257, exp_seed 35, draw_seed 3781914132 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 16/100, user 225, exp_seed 35, draw_seed 2166951878 ... CAE means: micro_g0=0.523, micro_g05=0.542, mtd_g0=0.526, mtd_g05=0.521, rs_g0=0.544, rs_g05=0.547, rs_mtd_g0=0.509, rs_mtd_g05=0.514, never_send=0.458, always_send=0.557, random_send=0.534
  Experiment 0, draw 17/100, user 204, exp_seed 35, draw_seed 3633140318 ... CAE means: micro_g0=-0.360, micro_g05=-0.361, mtd_g0=-0.360, mtd_g05=-0.363, rs_g0=-0.361, rs_g05=-0.364, rs_mtd_g0=-0.364, rs_mtd_g05=-0.363, never_send=-0.355, always_send=-0.380, random_send=-0.358
  Experiment 0, draw 18/100, user 188, exp_seed 35, draw_seed 456189048 ... CAE means: micro_g0=0.968, micro_g05=0.955, mtd_g0=0.939, mtd_g05=0.926, rs_g0=0.895, rs_g05=0.930, rs_mtd_g0=0.927, rs_mtd_g05=0.931, never_send=0.865, always_send=0.908, random_send=0.865
  Experiment 0, draw 19/100, user 188, exp_seed 35, draw_seed 3007643144 ... CAE means: micro_g0=0.925, micro_g05=0.926, mtd_g0=0.942, mtd_g05=0.946, rs_g0=0.946, rs_g05=0.948, rs_mtd_g0=0.950, rs_mtd_g05=0.943, never_send=0.831, always_send=0.908, random_send=0.866
  Experiment 0, draw 20/100, user 252, exp_seed 35, draw_seed 3427097359 ... CAE means: micro_g0=0.200, micro_g05=0.195, mtd_g0=0.204, mtd_g05=0.206, rs_g0=0.210, rs_g05=0.200, rs_mtd_g0=0.206, rs_mtd_g05=0.198, never_send=0.203, always_send=0.187, random_send=0.197
  Experiment 0, draw 21/100, user 151, exp_seed 35, draw_seed 2581548845 ... CAE means: micro_g0=0.722, micro_g05=0.728, mtd_g0=0.710, mtd_g05=0.728, rs_g0=0.712, rs_g05=0.733, rs_mtd_g0=0.715, rs_mtd_g05=0.710, never_send=0.616, always_send=0.815, random_send=0.707
  Experiment 0, draw 22/100, user 251, exp_seed 35, draw_seed 331155199 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 23/100, user 204, exp_seed 35, draw_seed 4044974483 ... CAE means: micro_g0=-0.357, micro_g05=-0.362, mtd_g0=-0.356, mtd_g05=-0.359, rs_g0=-0.361, rs_g05=-0.360, rs_mtd_g0=-0.357, rs_mtd_g05=-0.361, never_send=-0.349, always_send=-0.374, random_send=-0.353
  Experiment 0, draw 24/100, user 118, exp_seed 35, draw_seed 1549359927 ... CAE means: micro_g0=-0.153, micro_g05=-0.150, mtd_g0=-0.152, mtd_g05=-0.151, rs_g0=-0.150, rs_g05=-0.149, rs_mtd_g0=-0.151, rs_mtd_g05=-0.153, never_send=-0.155, always_send=-0.146, random_send=-0.151
  Experiment 0, draw 25/100, user 170, exp_seed 35, draw_seed 1230568396 ... CAE means: micro_g0=0.473, micro_g05=0.475, mtd_g0=0.467, mtd_g05=0.469, rs_g0=0.469, rs_g05=0.472, rs_mtd_g0=0.462, rs_mtd_g05=0.471, never_send=0.458, always_send=0.465, random_send=0.462
  Experiment 0, draw 26/100, user 251, exp_seed 35, draw_seed 2555439530 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 27/100, user 188, exp_seed 35, draw_seed 3370654927 ... CAE means: micro_g0=0.826, micro_g05=0.941, mtd_g0=0.871, mtd_g05=0.915, rs_g0=0.905, rs_g05=0.965, rs_mtd_g0=0.841, rs_mtd_g05=0.932, never_send=0.859, always_send=0.928, random_send=0.843
  Experiment 0, draw 28/100, user 118, exp_seed 35, draw_seed 948373316 ... CAE means: micro_g0=-0.155, micro_g05=-0.157, mtd_g0=-0.155, mtd_g05=-0.155, rs_g0=-0.155, rs_g05=-0.156, rs_mtd_g0=-0.155, rs_mtd_g05=-0.158, never_send=-0.158, always_send=-0.145, random_send=-0.153
  Experiment 0, draw 29/100, user 239, exp_seed 35, draw_seed 2964225417 ... CAE means: micro_g0=-2.754, micro_g05=-2.761, mtd_g0=-2.744, mtd_g05=-2.764, rs_g0=-2.724, rs_g05=-2.762, rs_mtd_g0=-2.718, rs_mtd_g05=-2.746, never_send=-2.707, always_send=-2.662, random_send=-2.759
  Experiment 0, draw 30/100, user 225, exp_seed 35, draw_seed 1165843193 ... CAE means: micro_g0=0.540, micro_g05=0.530, mtd_g0=0.549, mtd_g05=0.561, rs_g0=0.544, rs_g05=0.561, rs_mtd_g0=0.572, rs_mtd_g05=0.557, never_send=0.466, always_send=0.580, random_send=0.576
  Experiment 0, draw 31/100, user 251, exp_seed 35, draw_seed 2978388226 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 32/100, user 141, exp_seed 35, draw_seed 316118269 ... CAE means: micro_g0=0.590, micro_g05=0.583, mtd_g0=0.594, mtd_g05=0.614, rs_g0=0.598, rs_g05=0.616, rs_mtd_g0=0.602, rs_mtd_g05=0.615, never_send=0.669, always_send=0.579, random_send=0.593
