Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22043602  Task ID: 53
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 53: seed=52 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 52, draw_seed 744847545 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 52, draw_seed 1961016431 ... CAE means: micro_g0=-0.357, micro_g05=-0.359, mtd_g0=-0.360, mtd_g05=-0.363, rs_g0=-0.356, rs_g05=-0.363, rs_mtd_g0=-0.360, rs_mtd_g05=-0.368, never_send=-0.351, always_send=-0.376, random_send=-0.352
  Experiment 0, draw 3/100, user 188, exp_seed 52, draw_seed 2069256086 ... CAE means: micro_g0=0.943, micro_g05=0.953, mtd_g0=0.945, mtd_g05=0.959, rs_g0=0.948, rs_g05=0.959, rs_mtd_g0=0.951, rs_mtd_g05=0.939, never_send=0.881, always_send=0.916, random_send=0.869
  Experiment 0, draw 4/100, user 151, exp_seed 52, draw_seed 3669904468 ... CAE means: micro_g0=0.739, micro_g05=0.694, mtd_g0=0.717, mtd_g05=0.727, rs_g0=0.708, rs_g05=0.717, rs_mtd_g0=0.710, rs_mtd_g05=0.716, never_send=0.620, always_send=0.821, random_send=0.716
  Experiment 0, draw 5/100, user 151, exp_seed 52, draw_seed 1122534589 ... CAE means: micro_g0=0.713, micro_g05=0.720, mtd_g0=0.693, mtd_g05=0.710, rs_g0=0.718, rs_g05=0.705, rs_mtd_g0=0.717, rs_mtd_g05=0.705, never_send=0.619, always_send=0.809, random_send=0.695
  Experiment 0, draw 6/100, user 118, exp_seed 52, draw_seed 3767276794 ... CAE means: micro_g0=-0.146, micro_g05=-0.148, mtd_g0=-0.145, mtd_g05=-0.147, rs_g0=-0.145, rs_g05=-0.147, rs_mtd_g0=-0.146, rs_mtd_g05=-0.142, never_send=-0.149, always_send=-0.138, random_send=-0.145
  Experiment 0, draw 7/100, user 138, exp_seed 52, draw_seed 272519262 ... CAE means: micro_g0=-0.757, micro_g05=-0.702, mtd_g0=-0.681, mtd_g05=-0.684, rs_g0=-0.627, rs_g05=-0.697, rs_mtd_g0=-0.730, rs_mtd_g05=-0.714, never_send=-0.708, always_send=-0.699, random_send=-0.676
  Experiment 0, draw 8/100, user 118, exp_seed 52, draw_seed 3113448373 ... CAE means: micro_g0=-0.154, micro_g05=-0.154, mtd_g0=-0.153, mtd_g05=-0.152, rs_g0=-0.156, rs_g05=-0.153, rs_mtd_g0=-0.158, rs_mtd_g05=-0.151, never_send=-0.159, always_send=-0.147, random_send=-0.155
  Experiment 0, draw 9/100, user 141, exp_seed 52, draw_seed 4127753559 ... CAE means: micro_g0=0.554, micro_g05=0.543, mtd_g0=0.536, mtd_g05=0.517, rs_g0=0.559, rs_g05=0.528, rs_mtd_g0=0.561, rs_mtd_g05=0.551, never_send=0.626, always_send=0.485, random_send=0.556
  Experiment 0, draw 10/100, user 251, exp_seed 52, draw_seed 1490969184 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 52, draw_seed 198128708 ... CAE means: micro_g0=-0.357, micro_g05=-0.354, mtd_g0=-0.349, mtd_g05=-0.352, rs_g0=-0.354, rs_g05=-0.353, rs_mtd_g0=-0.356, rs_mtd_g05=-0.358, never_send=-0.346, always_send=-0.371, random_send=-0.348
