Host: holy7c18103.rc.fas.harvard.edu
Job ID: 21999904  Task ID: 37
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 37: seed=36 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 36, draw_seed 1609509654 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 36, draw_seed 3928271053 ... CAE means: micro_g0=-0.353, micro_g05=-0.363, mtd_g0=-0.360, mtd_g05=-0.358, rs_g0=-0.358, rs_g05=-0.361, rs_mtd_g0=-0.361, rs_mtd_g05=-0.365, never_send=-0.351, always_send=-0.374, random_send=-0.352
  Experiment 0, draw 3/100, user 188, exp_seed 36, draw_seed 2464519728 ... CAE means: micro_g0=0.946, micro_g05=0.954, mtd_g0=0.932, mtd_g05=0.952, rs_g0=0.952, rs_g05=0.969, rs_mtd_g0=0.966, rs_mtd_g05=0.936, never_send=0.851, always_send=0.928, random_send=0.872
  Experiment 0, draw 4/100, user 151, exp_seed 36, draw_seed 2032742606 ... CAE means: micro_g0=0.745, micro_g05=0.764, mtd_g0=0.732, mtd_g05=0.751, rs_g0=0.757, rs_g05=0.743, rs_mtd_g0=0.735, rs_mtd_g05=0.740, never_send=0.643, always_send=0.859, random_send=0.733
  Experiment 0, draw 5/100, user 151, exp_seed 36, draw_seed 1834791106 ... CAE means: micro_g0=0.751, micro_g05=0.711, mtd_g0=0.712, mtd_g05=0.710, rs_g0=0.744, rs_g05=0.707, rs_mtd_g0=0.700, rs_mtd_g05=0.732, never_send=0.618, always_send=0.823, random_send=0.712
  Experiment 0, draw 6/100, user 118, exp_seed 36, draw_seed 4093007720 ... CAE means: micro_g0=-0.151, micro_g05=-0.154, mtd_g0=-0.156, mtd_g05=-0.151, rs_g0=-0.154, rs_g05=-0.155, rs_mtd_g0=-0.149, rs_mtd_g05=-0.152, never_send=-0.156, always_send=-0.143, random_send=-0.151
  Experiment 0, draw 7/100, user 138, exp_seed 36, draw_seed 3204979429 ... CAE means: micro_g0=-0.754, micro_g05=-0.693, mtd_g0=-0.643, mtd_g05=-0.536, rs_g0=-0.680, rs_g05=-0.579, rs_mtd_g0=-0.759, rs_mtd_g05=-0.677, never_send=-0.654, always_send=-0.681, random_send=-0.668
  Experiment 0, draw 8/100, user 118, exp_seed 36, draw_seed 3214605551 ... CAE means: micro_g0=-0.139, micro_g05=-0.143, mtd_g0=-0.139, mtd_g05=-0.143, rs_g0=-0.141, rs_g05=-0.139, rs_mtd_g0=-0.141, rs_mtd_g05=-0.142, never_send=-0.145, always_send=-0.135, random_send=-0.139
  Experiment 0, draw 9/100, user 141, exp_seed 36, draw_seed 704357329 ... CAE means: micro_g0=0.480, micro_g05=0.504, mtd_g0=0.480, mtd_g05=0.512, rs_g0=0.492, rs_g05=0.495, rs_mtd_g0=0.471, rs_mtd_g05=0.503, never_send=0.580, always_send=0.476, random_send=0.489
  Experiment 0, draw 10/100, user 251, exp_seed 36, draw_seed 3534637948 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 36, draw_seed 2202621833 ... CAE means: micro_g0=-0.357, micro_g05=-0.360, mtd_g0=-0.357, mtd_g05=-0.357, rs_g0=-0.357, rs_g05=-0.355, rs_mtd_g0=-0.354, rs_mtd_g05=-0.357, never_send=-0.346, always_send=-0.371, random_send=-0.348
