Host: holy7c18103.rc.fas.harvard.edu
Job ID: 22000419  Task ID: 41
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 41: seed=40 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 40, draw_seed 2749179582 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 40, draw_seed 1556946243 ... CAE means: micro_g0=-0.367, micro_g05=-0.361, mtd_g0=-0.360, mtd_g05=-0.361, rs_g0=-0.354, rs_g05=-0.362, rs_mtd_g0=-0.357, rs_mtd_g05=-0.362, never_send=-0.353, always_send=-0.377, random_send=-0.355
  Experiment 0, draw 3/100, user 188, exp_seed 40, draw_seed 1688915847 ... CAE means: micro_g0=1.004, micro_g05=1.009, mtd_g0=1.021, mtd_g05=0.828, rs_g0=0.994, rs_g05=0.986, rs_mtd_g0=0.992, rs_mtd_g05=0.971, never_send=0.876, always_send=0.943, random_send=0.884
  Experiment 0, draw 4/100, user 151, exp_seed 40, draw_seed 2323292041 ... CAE means: micro_g0=0.706, micro_g05=0.735, mtd_g0=0.706, mtd_g05=0.740, rs_g0=0.728, rs_g05=0.733, rs_mtd_g0=0.712, rs_mtd_g05=0.711, never_send=0.626, always_send=0.831, random_send=0.729
  Experiment 0, draw 5/100, user 151, exp_seed 40, draw_seed 1921396381 ... CAE means: micro_g0=0.738, micro_g05=0.723, mtd_g0=0.675, mtd_g05=0.717, rs_g0=0.712, rs_g05=0.747, rs_mtd_g0=0.706, rs_mtd_g05=0.695, never_send=0.623, always_send=0.821, random_send=0.706
  Experiment 0, draw 6/100, user 118, exp_seed 40, draw_seed 4019122910 ... CAE means: micro_g0=-0.154, micro_g05=-0.154, mtd_g0=-0.158, mtd_g05=-0.153, rs_g0=-0.153, rs_g05=-0.154, rs_mtd_g0=-0.156, rs_mtd_g05=-0.155, never_send=-0.158, always_send=-0.146, random_send=-0.154
  Experiment 0, draw 7/100, user 138, exp_seed 40, draw_seed 4022166108 ... CAE means: micro_g0=-0.711, micro_g05=-0.715, mtd_g0=-0.690, mtd_g05=-0.552, rs_g0=-0.630, rs_g05=-0.798, rs_mtd_g0=-0.744, rs_mtd_g05=-0.737, never_send=-0.696, always_send=-0.698, random_send=-0.698
  Experiment 0, draw 8/100, user 118, exp_seed 40, draw_seed 2626185203 ... CAE means: micro_g0=-0.147, micro_g05=-0.147, mtd_g0=-0.147, mtd_g05=-0.149, rs_g0=-0.147, rs_g05=-0.146, rs_mtd_g0=-0.148, rs_mtd_g05=-0.148, never_send=-0.148, always_send=-0.141, random_send=-0.147
  Experiment 0, draw 9/100, user 141, exp_seed 40, draw_seed 1397906601 ... CAE means: micro_g0=0.605, micro_g05=0.554, mtd_g0=0.560, mtd_g05=0.590, rs_g0=0.588, rs_g05=0.582, rs_mtd_g0=0.567, rs_mtd_g05=0.579, never_send=0.652, always_send=0.523, random_send=0.573
  Experiment 0, draw 10/100, user 251, exp_seed 40, draw_seed 1211287699 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 40, draw_seed 1443411833 ... CAE means: micro_g0=-0.361, micro_g05=-0.367, mtd_g0=-0.359, mtd_g05=-0.366, rs_g0=-0.360, rs_g05=-0.363, rs_mtd_g0=-0.359, rs_mtd_g05=-0.362, never_send=-0.354, always_send=-0.377, random_send=-0.356
