Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22043667  Task ID: 54
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 54: seed=53 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 53, draw_seed 4016521393 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 53, draw_seed 1836764098 ... CAE means: micro_g0=-0.354, micro_g05=-0.359, mtd_g0=-0.355, mtd_g05=-0.359, rs_g0=-0.358, rs_g05=-0.360, rs_mtd_g0=-0.358, rs_mtd_g05=-0.366, never_send=-0.352, always_send=-0.375, random_send=-0.353
  Experiment 0, draw 3/100, user 188, exp_seed 53, draw_seed 1033954681 ... CAE means: micro_g0=0.964, micro_g05=0.978, mtd_g0=0.962, mtd_g05=0.956, rs_g0=0.971, rs_g05=0.948, rs_mtd_g0=0.953, rs_mtd_g05=0.965, never_send=0.868, always_send=0.942, random_send=0.895
  Experiment 0, draw 4/100, user 151, exp_seed 53, draw_seed 2375380705 ... CAE means: micro_g0=0.726, micro_g05=0.732, mtd_g0=0.751, mtd_g05=0.723, rs_g0=0.718, rs_g05=0.770, rs_mtd_g0=0.744, rs_mtd_g05=0.732, never_send=0.632, always_send=0.838, random_send=0.714
  Experiment 0, draw 5/100, user 151, exp_seed 53, draw_seed 641961094 ... CAE means: micro_g0=0.730, micro_g05=0.721, mtd_g0=0.719, mtd_g05=0.744, rs_g0=0.726, rs_g05=0.712, rs_mtd_g0=0.707, rs_mtd_g05=0.714, never_send=0.613, always_send=0.815, random_send=0.684
  Experiment 0, draw 6/100, user 118, exp_seed 53, draw_seed 140305737 ... CAE means: micro_g0=-0.150, micro_g05=-0.153, mtd_g0=-0.150, mtd_g05=-0.150, rs_g0=-0.149, rs_g05=-0.149, rs_mtd_g0=-0.148, rs_mtd_g05=-0.150, never_send=-0.153, always_send=-0.142, random_send=-0.152
  Experiment 0, draw 7/100, user 138, exp_seed 53, draw_seed 1543622529 ... CAE means: micro_g0=-0.759, micro_g05=-0.805, mtd_g0=-0.807, mtd_g05=-0.706, rs_g0=-0.705, rs_g05=-0.842, rs_mtd_g0=-0.686, rs_mtd_g05=-0.650, never_send=-0.675, always_send=-0.711, random_send=-0.728
  Experiment 0, draw 8/100, user 118, exp_seed 53, draw_seed 2525782418 ... CAE means: micro_g0=-0.157, micro_g05=-0.157, mtd_g0=-0.156, mtd_g05=-0.157, rs_g0=-0.156, rs_g05=-0.159, rs_mtd_g0=-0.161, rs_mtd_g05=-0.155, never_send=-0.158, always_send=-0.149, random_send=-0.154
  Experiment 0, draw 9/100, user 141, exp_seed 53, draw_seed 2067987640 ... CAE means: micro_g0=0.535, micro_g05=0.543, mtd_g0=0.536, mtd_g05=0.555, rs_g0=0.536, rs_g05=0.536, rs_mtd_g0=0.541, rs_mtd_g05=0.540, never_send=0.619, always_send=0.490, random_send=0.532
  Experiment 0, draw 10/100, user 251, exp_seed 53, draw_seed 416770876 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 53, draw_seed 3464114471 ... CAE means: micro_g0=-0.360, micro_g05=-0.359, mtd_g0=-0.366, mtd_g05=-0.367, rs_g0=-0.358, rs_g05=-0.360, rs_mtd_g0=-0.359, rs_mtd_g05=-0.366, never_send=-0.354, always_send=-0.378, random_send=-0.354
  Experiment 0, draw 12/100, user 252, exp_seed 53, draw_seed 2248204733 ... CAE means: micro_g0=0.213, micro_g05=0.218, mtd_g0=0.228, mtd_g05=0.217, rs_g0=0.224, rs_g05=0.215, rs_mtd_g0=0.229, rs_mtd_g05=0.219, never_send=0.221, always_send=0.200, random_send=0.217
  Experiment 0, draw 13/100, user 188, exp_seed 53, draw_seed 832222699 ... CAE means: micro_g0=0.955, micro_g05=0.930, mtd_g0=0.972, mtd_g05=0.939, rs_g0=0.868, rs_g05=0.939, rs_mtd_g0=0.968, rs_mtd_g05=0.933, never_send=0.859, always_send=0.901, random_send=0.877
  Experiment 0, draw 14/100, user 195, exp_seed 53, draw_seed 2354480235 ... CAE means: micro_g0=0.254, micro_g05=0.253, mtd_g0=0.254, mtd_g05=0.250, rs_g0=0.256, rs_g05=0.253, rs_mtd_g0=0.251, rs_mtd_g05=0.252, never_send=0.242, always_send=0.251, random_send=0.251
  Experiment 0, draw 15/100, user 257, exp_seed 53, draw_seed 2528350592 ... 
