Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22039857  Task ID: 45
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 45: seed=44 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 44, draw_seed 2305688168 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 44, draw_seed 1285815704 ... CAE means: micro_g0=-0.359, micro_g05=-0.361, mtd_g0=-0.360, mtd_g05=-0.367, rs_g0=-0.363, rs_g05=-0.358, rs_mtd_g0=-0.379, rs_mtd_g05=-0.360, never_send=-0.352, always_send=-0.377, random_send=-0.356
  Experiment 0, draw 3/100, user 188, exp_seed 44, draw_seed 199180819 ... CAE means: micro_g0=0.955, micro_g05=0.920, mtd_g0=0.903, mtd_g05=0.945, rs_g0=0.905, rs_g05=0.925, rs_mtd_g0=0.948, rs_mtd_g05=0.972, never_send=0.861, always_send=0.927, random_send=0.868
  Experiment 0, draw 4/100, user 151, exp_seed 44, draw_seed 4136545821 ... CAE means: micro_g0=0.720, micro_g05=0.732, mtd_g0=0.721, mtd_g05=0.742, rs_g0=0.700, rs_g05=0.768, rs_mtd_g0=0.727, rs_mtd_g05=0.728, never_send=0.631, always_send=0.828, random_send=0.712
  Experiment 0, draw 5/100, user 151, exp_seed 44, draw_seed 5609197 ... CAE means: micro_g0=0.722, micro_g05=0.724, mtd_g0=0.710, mtd_g05=0.739, rs_g0=0.750, rs_g05=0.734, rs_mtd_g0=0.700, rs_mtd_g05=0.711, never_send=0.621, always_send=0.818, random_send=0.711
  Experiment 0, draw 6/100, user 118, exp_seed 44, draw_seed 1678580846 ... CAE means: micro_g0=-0.145, micro_g05=-0.144, mtd_g0=-0.145, mtd_g05=-0.144, rs_g0=-0.149, rs_g05=-0.147, rs_mtd_g0=-0.144, rs_mtd_g05=-0.146, never_send=-0.150, always_send=-0.139, random_send=-0.146
  Experiment 0, draw 7/100, user 138, exp_seed 44, draw_seed 1779119906 ... CAE means: micro_g0=-0.623, micro_g05=-0.720, mtd_g0=-0.715, mtd_g05=-0.670, rs_g0=-0.688, rs_g05=-0.723, rs_mtd_g0=-0.703, rs_mtd_g05=-0.694, never_send=-0.706, always_send=-0.708, random_send=-0.696
  Experiment 0, draw 8/100, user 118, exp_seed 44, draw_seed 4184773334 ... CAE means: micro_g0=-0.148, micro_g05=-0.148, mtd_g0=-0.146, mtd_g05=-0.146, rs_g0=-0.148, rs_g05=-0.151, rs_mtd_g0=-0.149, rs_mtd_g05=-0.152, never_send=-0.154, always_send=-0.141, random_send=-0.150
  Experiment 0, draw 9/100, user 141, exp_seed 44, draw_seed 199839250 ... CAE means: micro_g0=0.552, micro_g05=0.559, mtd_g0=0.580, mtd_g05=0.544, rs_g0=0.558, rs_g05=0.558, rs_mtd_g0=0.582, rs_mtd_g05=0.564, never_send=0.639, always_send=0.513, random_send=0.562
  Experiment 0, draw 10/100, user 251, exp_seed 44, draw_seed 503286792 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 44, draw_seed 348363347 ... CAE means: micro_g0=-0.364, micro_g05=-0.367, mtd_g0=-0.359, mtd_g05=-0.361, rs_g0=-0.358, rs_g05=-0.367, rs_mtd_g0=-0.359, rs_mtd_g05=-0.366, never_send=-0.355, always_send=-0.379, random_send=-0.360
