Host: holy7c18104.rc.fas.harvard.edu
Job ID: 22040039  Task ID: 48
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 48: seed=47 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 47, draw_seed 2604516273 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 47, draw_seed 3506894182 ... CAE means: micro_g0=-0.360, micro_g05=-0.361, mtd_g0=-0.355, mtd_g05=-0.360, rs_g0=-0.360, rs_g05=-0.360, rs_mtd_g0=-0.364, rs_mtd_g05=-0.366, never_send=-0.352, always_send=-0.377, random_send=-0.355
  Experiment 0, draw 3/100, user 188, exp_seed 47, draw_seed 3119541130 ... CAE means: micro_g0=0.934, micro_g05=0.943, mtd_g0=0.945, mtd_g05=0.931, rs_g0=0.614, rs_g05=0.961, rs_mtd_g0=0.948, rs_mtd_g05=0.975, never_send=0.828, always_send=0.913, random_send=0.860
  Experiment 0, draw 4/100, user 151, exp_seed 47, draw_seed 1437195973 ... CAE means: micro_g0=0.733, micro_g05=0.757, mtd_g0=0.734, mtd_g05=0.726, rs_g0=0.735, rs_g05=0.738, rs_mtd_g0=0.713, rs_mtd_g05=0.774, never_send=0.628, always_send=0.828, random_send=0.727
  Experiment 0, draw 5/100, user 151, exp_seed 47, draw_seed 1570066681 ... CAE means: micro_g0=0.719, micro_g05=0.737, mtd_g0=0.748, mtd_g05=0.734, rs_g0=0.753, rs_g05=0.759, rs_mtd_g0=0.736, rs_mtd_g05=0.732, never_send=0.632, always_send=0.841, random_send=0.734
  Experiment 0, draw 6/100, user 118, exp_seed 47, draw_seed 4162368274 ... CAE means: micro_g0=-0.149, micro_g05=-0.153, mtd_g0=-0.149, mtd_g05=-0.153, rs_g0=-0.153, rs_g05=-0.154, rs_mtd_g0=-0.150, rs_mtd_g05=-0.151, never_send=-0.155, always_send=-0.143, random_send=-0.151
  Experiment 0, draw 7/100, user 138, exp_seed 47, draw_seed 692017960 ... CAE means: micro_g0=-0.742, micro_g05=-0.713, mtd_g0=-0.663, mtd_g05=-0.702, rs_g0=-0.705, rs_g05=-0.697, rs_mtd_g0=-0.666, rs_mtd_g05=-0.688, never_send=-0.699, always_send=-0.698, random_send=-0.680
  Experiment 0, draw 8/100, user 118, exp_seed 47, draw_seed 2810829483 ... CAE means: micro_g0=-0.153, micro_g05=-0.151, mtd_g0=-0.151, mtd_g05=-0.151, rs_g0=-0.151, rs_g05=-0.151, rs_mtd_g0=-0.149, rs_mtd_g05=-0.152, never_send=-0.152, always_send=-0.145, random_send=-0.150
  Experiment 0, draw 9/100, user 141, exp_seed 47, draw_seed 1916155439 ... CAE means: micro_g0=0.486, micro_g05=0.515, mtd_g0=0.511, mtd_g05=0.518, rs_g0=0.517, rs_g05=0.535, rs_mtd_g0=0.541, rs_mtd_g05=0.519, never_send=0.598, always_send=0.483, random_send=0.532
  Experiment 0, draw 10/100, user 251, exp_seed 47, draw_seed 3260872944 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 47, draw_seed 996384637 ... CAE means: micro_g0=-0.351, micro_g05=-0.363, mtd_g0=-0.357, mtd_g05=-0.366, rs_g0=-0.358, rs_g05=-0.358, rs_mtd_g0=-0.355, rs_mtd_g05=-0.362, never_send=-0.350, always_send=-0.375, random_send=-0.354
  Experiment 0, draw 12/100, user 252, exp_seed 47, draw_seed 1469314065 ... CAE means: micro_g0=0.212, micro_g05=0.208, mtd_g0=0.203, mtd_g05=0.208, rs_g0=0.211, rs_g05=0.211, rs_mtd_g0=0.219, rs_mtd_g05=0.210, never_send=0.207, always_send=0.190, random_send=0.205
  Experiment 0, draw 13/100, user 188, exp_seed 47, draw_seed 4024371061 ... CAE means: micro_g0=0.906, micro_g05=0.901, mtd_g0=0.933, mtd_g05=0.949, rs_g0=0.954, rs_g05=0.941, rs_mtd_g0=0.936, rs_mtd_g05=0.938, never_send=0.865, always_send=0.901, random_send=0.854
  Experiment 0, draw 14/100, user 195, exp_seed 47, draw_seed 1091827738 ... CAE means: micro_g0=0.260, micro_g05=0.261, mtd_g0=0.259, mtd_g05=0.258, rs_g0=0.261, rs_g05=0.261, rs_mtd_g0=0.260, rs_mtd_g05=0.261, never_send=0.250, always_send=0.256, random_send=0.260
  Experiment 0, draw 15/100, user 257, exp_seed 47, draw_seed 3218504977 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 16/100, user 225, exp_seed 47, draw_seed 2241181530 ... CAE means: micro_g0=0.537, micro_g05=0.504, mtd_g0=0.536, mtd_g05=0.541, rs_g0=0.572, rs_g05=0.526, rs_mtd_g0=0.541, rs_mtd_g05=0.508, never_send=0.480, always_send=0.580, random_send=0.489
  Experiment 0, draw 17/100, user 204, exp_seed 47, draw_seed 876554207 ... CAE means: micro_g0=-0.363, micro_g05=-0.362, mtd_g0=-0.364, mtd_g05=-0.370, rs_g0=-0.370, rs_g05=-0.361, rs_mtd_g0=-0.366, rs_mtd_g05=-0.368, never_send=-0.355, always_send=-0.379, random_send=-0.358
  Experiment 0, draw 18/100, user 188, exp_seed 47, draw_seed 2729728309 ... CAE means: micro_g0=1.000, micro_g05=0.968, mtd_g0=0.960, mtd_g05=0.968, rs_g0=0.985, rs_g05=0.990, rs_mtd_g0=0.963, rs_mtd_g05=0.953, never_send=0.869, always_send=0.935, random_send=0.873
  Experiment 0, draw 19/100, user 188, exp_seed 47, draw_seed 2348187988 ... CAE means: micro_g0=0.919, micro_g05=0.942, mtd_g0=0.929, mtd_g05=0.925, rs_g0=0.860, rs_g05=0.923, rs_mtd_g0=0.909, rs_mtd_g05=0.896, never_send=0.813, always_send=0.898, random_send=0.827
  Experiment 0, draw 20/100, user 252, exp_seed 47, draw_seed 2270982580 ... CAE means: micro_g0=0.203, micro_g05=0.194, mtd_g0=0.201, mtd_g05=0.194, rs_g0=0.205, rs_g05=0.203, rs_mtd_g0=0.195, rs_mtd_g05=0.203, never_send=0.199, always_send=0.180, random_send=0.196
  Experiment 0, draw 21/100, user 151, exp_seed 47, draw_seed 608803551 ... CAE means: micro_g0=0.720, micro_g05=0.739, mtd_g0=0.722, mtd_g05=0.742, rs_g0=0.701, rs_g05=0.713, rs_mtd_g0=0.697, rs_mtd_g05=0.738, never_send=0.611, always_send=0.810, random_send=0.707
  Experiment 0, draw 22/100, user 251, exp_seed 47, draw_seed 4071821511 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 23/100, user 204, exp_seed 47, draw_seed 1470435955 ... 
