horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs,ci_low,ci_high,ci_level,boot_se
1,1,1,48,M_E_day6_pageview_afternoon,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,49,M_E_day6_morning_fitbit_wear,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,50,M_E_day6_daily_survey_complete,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,51,yesterday_step_count,0.02311414007718783,0.0009944003174101935,290,-0.026136098259981297,0.045992027597291624,0.95,0.018211047306262704
1,1,1,52,ema_step_count,-0.004412704522547817,0.0009944003174101935,290,-0.032748493623100186,0.022004106677308684,0.95,0.01268414217321298
1,1,1,53,prior2hour_step_count,0.006476516149169922,0.0009944003174101935,290,-0.010381063203375457,0.02429764346834279,0.95,0.00857862270914144
1,1,1,54,previous7days_rpa,0.11904536369052282,0.0009944003174101935,290,-0.0032339152787781936,0.23828945649112193,0.95,0.058512485073322934
1,1,1,55,active_status_fraction_7days,0.13132000625877044,0.0009944003174101935,290,0.006251510034952281,0.2808366588401402,0.95,0.07024590225809088
1,1,1,56,recent_burden,-0.005734287832804554,0.0009944003174101935,290,-0.03388943113253517,0.026202699619980445,0.95,0.015006289591493424
1,1,1,57,salience_yesterday,-0.01597163085438575,0.0009944003174101935,290,-0.052614252228192444,0.01699981629575935,0.95,0.018154706367086843
1,1,1,58,walk_interaction_7d,0.12811958306871365,0.0009944003174101935,290,-0.00741117185534168,0.29728471324603134,0.95,0.07683932816426041
1,1,1,59,A,0.003911948428482922,0.0009944003174101935,290,-0.013200529161220585,0.04852767111737962,0.95,0.015141407308875218
1,1,1,60,A*E_w,-0.0012385841423445895,0.0009944003174101935,290,-0.01413498431081597,0.009856179932376051,0.95,0.005755526918634072
1,1,1,61,A*CAE_avg_lastweek,0.003108961514544373,0.0009944003174101935,290,-0.00974487566376474,0.029184858041002296,0.95,0.009264523535673863
1,1,1,62,A*weekday_vs_weekend,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,63,A*slot_pm,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
1,1,1,64,A*weekday_vs_weekend*E_w,0.0,0.0009944003174101935,290,0.0,0.0,0.95,0.0
